,Disease,County,Year,Sex,Count,Population,Rate,CI.lower,CI.upper
91787,"Plague, human",Plumas,2007,Male,0,10277,0.0,0.0,35.888000000000005
136446,Varicella Hospitalizations,Orange,2011,Female,0,1539616,0.0,0.0,0.24
76431,Listeriosis,Santa Barbara,2008,Female,1,209105,0.478,0.012,2.6639999999999997
106529,Scombroid Fish Poisoning,Glenn,2003,Female,0,13448,0.0,0.0,27.427
45765,E. coli Other STEC (non-O157),Tehama,2010,Female,0,31845,0.0,0.0,11.583
25868,Ciguatera Fish Poisoning,Modoc,2003,Male,0,4816,0.0,0.0,76.567
88235,Pertussis,Del Norte,2006,Female,0,12635,0.0,0.0,29.191
124580,Trichinosis,Mendocino,2007,Male,0,43759,0.0,0.0,8.43
40962,Diphtheria,San Francisco,2012,Male,0,417663,0.0,0.0,0.883
108523,Shiga Toxin Positive Feces (without culture confirmation),California,2010,Female,47,18752748,0.251,0.184,0.33299999999999996
33792,Cyclosporiasis,El Dorado,2013,Female,0,91508,0.0,0.0,4.031000000000001
101776,Relapsing Fever,San Bernardino,2005,Female,0,975953,0.0,0.0,0.37799999999999995
9154,"Botulism, Foodborne",San Joaquin,2014,Female,0,356979,0.0,0.0,1.033
140809,Yersiniosis,San Benito,2014,Female,0,29124,0.0,0.0,12.665
26459,Ciguatera Fish Poisoning,San Joaquin,2004,Male,0,318163,0.0,0.0,1.159
140920,Yersiniosis,San Francisco,2009,Female,1,394990,0.253,0.006,1.411
136188,Varicella Hospitalizations,Imperial,2010,Female,0,85187,0.0,0.0,4.33
34740,Cysticercosis or Taeniasis,Del Norte,2007,Female,0,12697,0.0,0.0,29.049
120516,Tetanus,Santa Cruz,2002,Male,0,127475,0.0,0.0,2.8939999999999997
79931,Malaria,Contra Costa,2014,Male,3,534708,0.561,0.11599999999999999,1.64
13235,"Botulism, Wound",Lake,2011,Male,0,32327,0.0,0.0,11.41
46351,Early Syphilis,El Dorado,2011,Male,0,90298,0.0,0.0,4.085
129130,Tularemia,Inyo,2001,Female,0,9239,0.0,0.0,39.919000000000004
117118,Streptococcal Infection (cases in food and dairy workers),Mariposa,2004,Male,0,9081,0.0,0.0,40.614000000000004
46597,Early Syphilis,Kern,2009,Male,27,428435,6.3020000000000005,4.1530000000000005,9.169
78344,Lyme Disease,Napa,2014,Male,0,70493,0.0,0.0,5.233
96907,Q Fever,San Diego,2014,Male,1,1617219,0.062,0.002,0.345
23124,Cholera,Lassen,2009,Male,0,22312,0.0,0.0,16.532
83589,Measles,San Bernardino,2013,Male,0,1032092,0.0,0.0,0.35700000000000004
102991,Rubella,Kings,2012,Male,0,85407,0.0,0.0,4.319
100738,Relapsing Fever,Humboldt,2001,Female,0,64153,0.0,0.0,5.75
88361,Pertussis,Glenn,2006,Female,1,13729,7.284,0.184,40.576
34146,Cyclosporiasis,San Joaquin,2011,Female,0,347567,0.0,0.0,1.061
99933,"Rabies, human",Sutter,2013,Female,0,48670,0.0,0.0,7.579
126937,Tuberculosis,Madera,2009,Female,3,77888,3.852,0.794,11.255999999999998
31404,Cryptosporidiosis,Calaveras,2002,Female,0,21136,0.0,0.0,17.452
51231,Gonorrhea,Contra Costa,2013,Female,442,554275,79.744,72.485,87.53299999999999
27697,Coccidioidomycosis,Fresno,2005,Female,33,436052,7.568,5.209,10.628
77977,Lyme Disease,Madera,2004,Male,0,65595,0.0,0.0,5.624
46024,Early Syphilis,Alameda,2014,Male,229,775895,29.514,25.816,33.594
112442,Spotted Fever Rickettsiosis,California,2002,Male,1,17384620,0.006,0.0,0.032
139642,Yersiniosis,Contra Costa,2012,Male,1,521520,0.192,0.005,1.068
78924,Lyme Disease,Santa Barbara,2011,Female,1,211814,0.47200000000000003,0.012,2.63
35086,Cysticercosis or Taeniasis,Kings,2010,Female,0,66218,0.0,0.0,5.571000000000001
73898,Leptospirosis,San Joaquin,2008,Female,0,338923,0.0,0.0,1.088
29059,Coccidioidomycosis,Santa Barbara,2009,Male,10,212127,4.7139999999999995,2.261,8.669
101665,Relapsing Fever,Riverside,2010,Female,0,1101193,0.0,0.0,0.335
21488,Chlamydia,San Francisco,2006,Male,1965,397484,494.35900000000004,472.791,516.654
49201,Giardiasis,Lassen,2002,Female,0,12184,0.0,0.0,30.272
86865,Paralytic Shellfish Poisoning,Sacramento,2008,Male,0,686026,0.0,0.0,0.5379999999999999
90722,"Plague, human",Contra Costa,2003,Male,0,482677,0.0,0.0,0.764
61172,Measles,Alameda,2004,Female,0,746959,0.0,0.0,0.494
3854,Anaplasmosis and Ehrlichiosis,Plumas,2009,Female,0,10036,0.0,0.0,36.75
64661,Influenza Death (<65 years of age),Tulare,2012,Female,2,225721,0.8859999999999999,0.107,3.201
74169,Leptospirosis,Shasta,2014,Female,0,90621,0.0,0.0,4.071000000000001
4743,Anaplasmosis and Ehrlichiosis,Trinity,2011,Female,0,6574,0.0,0.0,56.097
50918,Giardiasis,Yuba,2014,Male,2,36922,5.417000000000001,0.6559999999999999,19.566
73919,Leptospirosis,San Luis Obispo,2001,Female,0,122459,0.0,0.0,3.012
118201,Streptococcal Infection (cases in food and dairy workers),Siskiyou,2014,Female,0,22697,0.0,0.0,16.250999999999998
31677,Cryptosporidiosis,Glenn,2009,Female,0,13906,0.0,0.0,26.524
115818,Staphylococcus aureus Infection (cases resulting in death or ICU),San Mateo,2009,Male,2,352328,0.568,0.069,2.051
49535,Giardiasis,Mono,2001,Male,0,7182,0.0,0.0,51.35
136657,Varicella Hospitalizations,Santa Cruz,2011,Male,0,132529,0.0,0.0,2.783
50923,Gonorrhea,California,2002,Female,10896,17555714,62.065,60.906000000000006,63.24100000000001
114432,Spotted Fever Rickettsiosis,Siskiyou,2007,Female,0,22635,0.0,0.0,16.296
58367,Hepatitis A,Alameda,2011,Female,1,777894,0.129,0.003,0.716
130005,Tularemia,Sacramento,2013,Female,0,736595,0.0,0.0,0.501
84615,Mumps,Colusa,2012,Male,0,11026,0.0,0.0,33.451
42683,E. coli O157,Los Angeles,2012,Male,12,4907522,0.245,0.126,0.42700000000000005
91730,"Plague, human",Placer,2002,Male,0,135549,0.0,0.0,2.721
17846,Campylobacteriosis,Fresno,2007,Female,80,450080,17.775,14.094000000000001,22.122
50170,Giardiasis,San Mateo,2003,Female,19,357397,5.316,3.201,8.302
22370,Cholera,California,2006,Female,1,18220429,0.005,0.0,0.031
110023,Shigellosis,Alpine,2001,Male,0,648,0.0,0.0,567.654
126728,Tuberculosis,Kern,2009,Male,28,428435,6.535,4.343,9.445
100488,Relapsing Fever,Colusa,2002,Female,0,9515,0.0,0.0,38.762
119937,Tetanus,Orange,2011,Male,0,1506897,0.0,0.0,0.245
98464,"Rabies, human",Kings,2007,Female,0,64272,0.0,0.0,5.739
119368,Tetanus,Lake,2001,Male,0,29796,0.0,0.0,12.38
109992,Shigellosis,Alameda,2005,Male,41,716243,5.724,4.1080000000000005,7.766
128291,Tuberculosis,Trinity,2001,Male,0,6636,0.0,0.0,55.573
74504,Leptospirosis,Tulare,2013,Female,0,227227,0.0,0.0,1.6230000000000002
39137,Dengue,Tulare,2006,Male,0,208162,0.0,0.0,1.7719999999999998
92786,"Plague, human",Tuolumne,2012,Male,0,28532,0.0,0.0,12.927999999999999
42590,E. coli O157,Lake,2009,Male,0,32227,0.0,0.0,11.446
140557,Yersiniosis,Nevada,2014,Female,0,49633,0.0,0.0,7.432
566,Amebiasis,Imperial,2007,Male,1,86048,1.162,0.028999999999999998,6.475
124388,Trichinosis,Lassen,2013,Male,0,21582,0.0,0.0,17.090999999999998
129226,Tularemia,Kings,2005,Female,0,61768,0.0,0.0,5.972
114805,Spotted Fever Rickettsiosis,Ventura,2005,Female,0,400152,0.0,0.0,0.922
124783,Trichinosis,Napa,2005,Female,0,65504,0.0,0.0,5.631
30328,Creutzfeldt-Jakob Disease and other Transmissible Spongiform Encephalopathies,Mendocino,2014,Male,0,44468,0.0,0.0,8.295
98108,"Rabies, human",Contra Costa,2014,Male,0,534708,0.0,0.0,0.69
41147,Diphtheria,Santa Clara,2002,Male,0,855869,0.0,0.0,0.431
19315,Campylobacteriosis,Shasta,2011,Female,8,90445,8.845,3.819,17.428
40917,Diphtheria,San Diego,2011,Male,0,1574325,0.0,0.0,0.23399999999999999
93928,Psittacosis,Merced,2013,Female,0,130194,0.0,0.0,2.833
134933,Typhus Fever,Riverside,2014,Female,0,1152765,0.0,0.0,0.32
50060,Giardiasis,San Francisco,2008,Male,129,405253,31.831999999999997,26.576999999999998,37.821999999999996
131289,"Typhoid Fever, case",Colusa,2007,Female,0,10337,0.0,0.0,35.68
11042,"Botulism, Other",Modoc,2006,Male,0,4876,0.0,0.0,75.625
99085,"Rabies, human",Placer,2010,Male,0,171058,0.0,0.0,2.156
1559,Amebiasis,San Diego,2002,Male,15,1462232,1.026,0.574,1.692
22764,Cholera,El Dorado,2011,Male,0,90298,0.0,0.0,4.085
107496,Scombroid Fish Poisoning,Sacramento,2012,Male,0,703543,0.0,0.0,0.524
54482,Hantavirus Infection,Mono,2001,Male,0,7182,0.0,0.0,51.35
51032,Gonorrhea,Alpine,2010,Male,0,602,0.0,0.0,610.8969999999999
68500,Legionellosis,Napa,2005,Male,0,65236,0.0,0.0,5.655
22490,Cholera,Amador,2004,Female,0,16732,0.0,0.0,22.044
30124,Creutzfeldt-Jakob Disease and other Transmissible Spongiform Encephalopathies,Kern,2010,Male,1,436646,0.22899999999999998,0.006,1.276
18263,Campylobacteriosis,Madera,2006,Female,9,74530,12.075999999999999,5.522,22.921999999999997
64673,Influenza Death (<65 years of age),Tuolumne,2010,Female,0,25918,0.0,0.0,14.232000000000001
50051,Giardiasis,San Francisco,2005,Male,156,395954,39.399,33.46,46.086999999999996
57702,Hemolytic Uremic Syndrome,Santa Clara,2008,Female,3,874428,0.34299999999999997,0.071,1.003
79472,Lyme Disease,Ventura,2001,Male,0,383073,0.0,0.0,0.963
126137,Tuberculosis,Alameda,2008,Male,82,731907,11.204,8.911,13.905999999999999
5498,Babesiosis,Humboldt,2010,Female,0,66755,0.0,0.0,5.526
55288,Hantavirus Infection,Shasta,2003,Female,0,87754,0.0,0.0,4.204
27754,Coccidioidomycosis,Glenn,2010,Female,0,13938,0.0,0.0,26.463
112747,Spotted Fever Rickettsiosis,Contra Costa,2006,Female,0,517107,0.0,0.0,0.713
86800,Paralytic Shellfish Poisoning,Riverside,2001,Female,0,814467,0.0,0.0,0.45299999999999996
109593,Shiga Toxin Positive Feces (without culture confirmation),Santa Cruz,2011,Male,0,132529,0.0,0.0,2.783
12321,"Botulism, Other",Tuolumne,2001,Female,0,26135,0.0,0.0,14.114
47399,Early Syphilis,Sacramento,2011,Female,11,729502,1.508,0.753,2.698
2221,Amebiasis,Tehama,2013,Female,0,32138,0.0,0.0,11.478
121299,Toxic Shock Syndrome (Non-Streptococcal),Butte,2004,Female,0,107746,0.0,0.0,3.424
3685,Anaplasmosis and Ehrlichiosis,Napa,2009,Female,0,67950,0.0,0.0,5.428999999999999
45640,E. coli Other STEC (non-O157),Siskiyou,2014,Female,0,22697,0.0,0.0,16.250999999999998
47718,Early Syphilis,Santa Barbara,2005,Female,0,205279,0.0,0.0,1.797
12066,"Botulism, Wound",Inyo,2009,Male,0,9243,0.0,0.0,39.902
108568,Shiga Toxin Positive Feces (without culture confirmation),Alpine,2009,Female,0,570,0.0,0.0,645.082
57777,Hemolytic Uremic Syndrome,Shasta,2005,Female,0,88842,0.0,0.0,4.152
55735,Hantavirus Infection,Tuolumne,2012,Female,0,25417,0.0,0.0,14.512
54010,Hantavirus Infection,Inyo,2006,Male,0,9154,0.0,0.0,40.29
37466,Dengue,Imperial,2013,Female,0,86982,0.0,0.0,4.2410000000000005
67806,Legionellosis,Humboldt,2008,Male,0,66582,0.0,0.0,5.54
34672,Cysticercosis or Taeniasis,Colusa,2012,Male,0,11026,0.0,0.0,33.451
27214,Ciguatera Fish Poisoning,Yolo,2012,Male,0,99947,0.0,0.0,3.6910000000000003
99489,"Rabies, human",San Mateo,2005,Female,0,355457,0.0,0.0,1.038
128900,Tularemia,Del Norte,2008,Male,0,15832,0.0,0.0,23.296999999999997
85866,Paralytic Shellfish Poisoning,Glenn,2001,Female,0,13154,0.0,0.0,28.04
108542,Shiga Toxin Positive Feces (without culture confirmation),Alameda,2008,Male,2,731907,0.273,0.033,0.987
137007,Vibrio Infection (non-Cholera),Amador,2002,Female,0,16416,0.0,0.0,22.469
52122,Gonorrhea,Nevada,2001,Female,2,47308,4.228,0.512,15.270999999999999
2363,Amebiasis,Ventura,2004,Male,0,395834,0.0,0.0,0.932
28260,Coccidioidomycosis,Mendocino,2010,Female,0,43822,0.0,0.0,8.418
122925,Toxic Shock Syndrome (Non-Streptococcal),Santa Clara,2001,Male,0,856439,0.0,0.0,0.431
54120,Hantavirus Infection,Lake,2001,Female,0,30250,0.0,0.0,12.194
92284,"Plague, human",Santa Clara,2013,Female,0,924969,0.0,0.0,0.39899999999999997
56057,Hemolytic Uremic Syndrome,Butte,2007,Female,1,110027,0.909,0.023,5.064
96960,Q Fever,San Joaquin,2004,Female,0,320359,0.0,0.0,1.151
108843,Shiga Toxin Positive Feces (without culture confirmation),Imperial,2011,Male,0,91205,0.0,0.0,4.045
34081,Cyclosporiasis,Riverside,2013,Male,0,1127023,0.0,0.0,0.327
128179,Tuberculosis,Stanislaus,2006,Female,4,254877,1.569,0.428,4.018
111374,Shigellosis,Riverside,2008,Female,23,1067130,2.155,1.3659999999999999,3.234
30536,Creutzfeldt-Jakob Disease and other Transmissible Spongiform Encephalopathies,Plumas,2011,Female,0,9985,0.0,0.0,36.937
95980,Q Fever,Kern,2013,Female,0,416808,0.0,0.0,0.885
127762,Tuberculosis,San Luis Obispo,2004,Female,2,125898,1.589,0.192,5.7379999999999995
141395,Yersiniosis,Sonoma,2013,Male,0,242017,0.0,0.0,1.524
65814,Invasive Meningococcal Disease,Modoc,2001,Female,0,4670,0.0,0.0,78.96
126682,Tuberculosis,Inyo,2008,Female,0,9209,0.0,0.0,40.049
99495,"Rabies, human",San Mateo,2007,Female,0,357982,0.0,0.0,1.03
114264,Spotted Fever Rickettsiosis,Santa Clara,2007,Female,0,862263,0.0,0.0,0.428
13431,"Botulism, Wound",Mariposa,2006,Male,0,9262,0.0,0.0,39.82
95227,Psittacosis,Ventura,2010,Female,0,415220,0.0,0.0,0.888
125030,Trichinosis,Sacramento,2003,Male,0,646244,0.0,0.0,0.5710000000000001
51894,Gonorrhea,Mendocino,2010,Female,9,43822,20.538,9.392000000000001,38.983000000000004
129619,Tularemia,Modoc,2010,Female,0,4781,0.0,0.0,77.127
136647,Varicella Hospitalizations,Santa Clara,2013,Female,0,924969,0.0,0.0,0.39899999999999997
39269,Dengue,Yolo,2008,Male,0,96299,0.0,0.0,3.8310000000000004
4813,Anaplasmosis and Ehrlichiosis,Tuolumne,2006,Male,0,29888,0.0,0.0,12.342
47195,Early Syphilis,Nevada,2013,Female,0,49421,0.0,0.0,7.4639999999999995
3378,Anaplasmosis and Ehrlichiosis,Marin,2005,Male,0,121710,0.0,0.0,3.031
2682,Anaplasmosis and Ehrlichiosis,Butte,2012,Male,0,109565,0.0,0.0,3.367
125177,Trichinosis,San Diego,2010,Male,0,1562326,0.0,0.0,0.23600000000000002
97617,Q Fever,Tulare,2013,Female,0,227227,0.0,0.0,1.6230000000000002
46582,Early Syphilis,Kern,2004,Male,6,381193,1.574,0.578,3.426
77641,Lyme Disease,Humboldt,2004,Male,4,65318,6.124,1.669,15.679
30093,Creutzfeldt-Jakob Disease and other Transmissible Spongiform Encephalopathies,Inyo,2008,Female,0,9209,0.0,0.0,40.049
42622,E. coli O157,Lassen,2006,Female,0,12622,0.0,0.0,29.221999999999998
46906,Early Syphilis,Mariposa,2014,Female,0,8832,0.0,0.0,41.758
17114,Brucellosis,Tehama,2001,Male,0,27925,0.0,0.0,13.209000000000001
98450,"Rabies, human",Kings,2002,Male,0,77215,0.0,0.0,4.777
136185,Varicella Hospitalizations,Humboldt,2014,Female,1,66722,1.499,0.038,8.35
138962,Vibrio Infection (non-Cholera),Stanislaus,2004,Female,0,248433,0.0,0.0,1.485
5710,Babesiosis,Lake,2011,Female,0,32084,0.0,0.0,11.497
3244,Anaplasmosis and Ehrlichiosis,Lassen,2003,Male,0,21746,0.0,0.0,16.962
134289,Typhus Fever,Lassen,2009,Male,0,22312,0.0,0.0,16.532
12842,"Botulism, Wound",Del Norte,2006,Male,0,15641,0.0,0.0,23.581999999999997
6270,Babesiosis,Placer,2001,Female,0,135208,0.0,0.0,2.728
57009,Hemolytic Uremic Syndrome,Monterey,2001,Male,0,209953,0.0,0.0,1.757
109351,Shiga Toxin Positive Feces (without culture confirmation),Sacramento,2011,Female,0,729502,0.0,0.0,0.506
100651,Relapsing Fever,El Dorado,2014,Female,0,92046,0.0,0.0,4.008
62158,Leptospirosis,Siskiyou,2006,Male,0,22214,0.0,0.0,16.605
122859,Toxic Shock Syndrome (Non-Streptococcal),San Mateo,2007,Male,0,346290,0.0,0.0,1.065
88407,Pertussis,Humboldt,2007,Male,0,66233,0.0,0.0,5.569
134885,Typhus Fever,Plumas,2012,Female,0,9964,0.0,0.0,37.015
22751,Cholera,El Dorado,2007,Female,0,88622,0.0,0.0,4.162
2779,Anaplasmosis and Ehrlichiosis,Contra Costa,2002,Male,0,477223,0.0,0.0,0.773
38111,Dengue,Nevada,2014,Male,0,48602,0.0,0.0,7.59
37543,Dengue,Kings,2008,Female,0,64879,0.0,0.0,5.686
78663,Lyme Disease,San Bernardino,2008,Male,1,1003623,0.1,0.003,0.555
74276,Leptospirosis,Sonoma,2007,Female,0,240336,0.0,0.0,1.535
78737,Lyme Disease,San Francisco,2005,Female,6,383701,1.564,0.574,3.404
102977,Rubella,Kern,2012,Female,0,411962,0.0,0.0,0.895
104683,Salmonellosis,Modoc,2013,Male,1,4761,21.004,0.532,116.971
124843,Trichinosis,Nevada,2011,Female,0,49830,0.0,0.0,7.403
140407,Yersiniosis,Mono,2006,Female,0,6524,0.0,0.0,56.527
78856,Lyme Disease,San Mateo,2002,Male,3,346513,0.866,0.179,2.53
80518,Malaria,Mariposa,2006,Female,0,8982,0.0,0.0,41.06100000000001
11566,"Botulism, Other",San Diego,2013,Male,0,1599983,0.0,0.0,0.231
120422,Tetanus,San Mateo,2013,Male,0,365012,0.0,0.0,1.011
60905,"Hepatitis E, acute infection",Placer,2013,Female,1,186575,0.536,0.013999999999999999,2.986
53667,Hantavirus Infection,Colusa,2004,Male,0,10293,0.0,0.0,35.832
28227,Coccidioidomycosis,Mariposa,2013,Female,0,8836,0.0,0.0,41.74
49802,Giardiasis,Plumas,2006,Male,0,10330,0.0,0.0,35.704
137598,Vibrio Infection (non-Cholera),Lake,2011,Male,0,32327,0.0,0.0,11.41
122939,Toxic Shock Syndrome (Non-Streptococcal),Santa Clara,2006,Female,0,850345,0.0,0.0,0.434
136537,Varicella Hospitalizations,San Bernardino,2011,Male,7,1020808,0.6859999999999999,0.276,1.413
48883,Giardiasis,Glenn,2001,Female,0,13154,0.0,0.0,28.04
129437,Tularemia,Marin,2005,Male,0,121710,0.0,0.0,3.031
128486,Tuberculosis,Yolo,2010,Male,4,98180,4.074,1.11,10.431
87404,Paralytic Shellfish Poisoning,Siskiyou,2009,Male,0,22361,0.0,0.0,16.496
12332,"Botulism, Other",Tuolumne,2004,Male,0,29776,0.0,0.0,12.388
141590,Yersiniosis,Tulare,2008,Male,2,215925,0.9259999999999999,0.11199999999999999,3.346
41659,Diphtheria,Tuolumne,2005,Female,0,26617,0.0,0.0,13.857999999999999
60862,"Hepatitis E, acute infection",Napa,2011,Female,0,68499,0.0,0.0,5.385
95225,Psittacosis,Ventura,2009,Male,0,407005,0.0,0.0,0.9059999999999999
18200,Campylobacteriosis,Lassen,2013,Female,0,12104,0.0,0.0,30.471999999999998
70437,Leprosy,Kings,2001,Female,0,56448,0.0,0.0,6.535
25231,Ciguatera Fish Poisoning,Fresno,2001,Male,0,407831,0.0,0.0,0.905
65721,Invasive Meningococcal Disease,Mariposa,2012,Female,0,8865,0.0,0.0,41.603
52245,Gonorrhea,Placer,2014,Female,73,189110,38.602,30.259,48.534
6526,Babesiosis,San Diego,2002,Male,0,1462232,0.0,0.0,0.252
84789,Mumps,Lassen,2010,Male,0,22516,0.0,0.0,16.382
32945,Cryptosporidiosis,San Mateo,2010,Female,23,365830,6.287000000000001,3.986,9.434
88085,Pertussis,Butte,2012,Male,2,109565,1.825,0.221,6.593999999999999
45018,E. coli Other STEC (non-O157),Merced,2014,Male,0,133492,0.0,0.0,2.763
34602,Cysticercosis or Taeniasis,Calaveras,2003,Female,0,21655,0.0,0.0,17.033
39016,Dengue,Sutter,2008,Female,0,47099,0.0,0.0,7.832000000000001
5288,Babesiosis,Contra Costa,2010,Female,0,539100,0.0,0.0,0.684
106416,Scombroid Fish Poisoning,Del Norte,2007,Male,0,15783,0.0,0.0,23.37
27036,Ciguatera Fish Poisoning,Trinity,2009,Female,0,6670,0.0,0.0,55.29
108563,Shiga Toxin Positive Feces (without culture confirmation),Alpine,2007,Male,0,649,0.0,0.0,566.7819999999999
71779,Leprosy,Solano,2012,Male,0,209029,0.0,0.0,1.765
24696,Cholera,Ventura,2005,Male,0,396715,0.0,0.0,0.93
91198,"Plague, human",Lassen,2008,Female,0,12631,0.0,0.0,29.201
7777,"Botulism, Foodborne",Contra Costa,2012,Female,0,547638,0.0,0.0,0.674
86315,Paralytic Shellfish Poisoning,Marin,2007,Male,0,122743,0.0,0.0,3.005
35330,Cysticercosis or Taeniasis,Mariposa,2007,Female,0,9059,0.0,0.0,40.711999999999996
100592,Relapsing Fever,Del Norte,2008,Male,0,15832,0.0,0.0,23.296999999999997
55562,Hantavirus Infection,Sutter,2010,Male,0,46965,0.0,0.0,7.854
17590,Campylobacteriosis,Butte,2006,Female,24,109338,21.95,14.064,32.659
41302,Diphtheria,Sierra,2012,Female,0,1547,0.0,0.0,238.17
71654,Leprosy,Shasta,2012,Male,0,87789,0.0,0.0,4.202
59213,"Hepatitis B, Acute",Fresno,2013,Male,3,478490,0.627,0.129,1.8319999999999999
135649,Typhus Fever,Stanislaus,2009,Female,0,258796,0.0,0.0,1.425
102106,Relapsing Fever,Santa Clara,2012,Female,0,911248,0.0,0.0,0.405
14324,"Botulism, Wound",Santa Cruz,2004,Female,0,127676,0.0,0.0,2.889
67565,Legionellosis,Colusa,2012,Female,0,10416,0.0,0.0,35.409
34492,Cysticercosis or Taeniasis,Alpine,2008,Male,0,627,0.0,0.0,586.611
65065,Invasive Meningococcal Disease,Contra Costa,2009,Male,5,509624,0.981,0.319,2.29
289,Amebiasis,Colusa,2013,Female,0,10523,0.0,0.0,35.049
69304,Legionellosis,Solano,2007,Female,0,206109,0.0,0.0,1.79
120413,Tetanus,San Mateo,2010,Male,0,353837,0.0,0.0,1.043
29901,Creutzfeldt-Jakob Disease and other Transmissible Spongiform Encephalopathies,Colusa,2008,Male,0,10809,0.0,0.0,34.122
99975,"Rabies, human",Tehama,2013,Female,0,32138,0.0,0.0,11.478
7042,Babesiosis,Sonoma,2005,Female,0,238649,0.0,0.0,1.546
114528,Spotted Fever Rickettsiosis,Sonoma,2011,Female,0,247231,0.0,0.0,1.492
92501,"Plague, human",Sonoma,2001,Male,0,228786,0.0,0.0,1.6119999999999999
42269,E. coli O157,El Dorado,2014,Male,0,91911,0.0,0.0,4.013
20124,Chlamydia,Calaveras,2014,Female,48,22552,212.838,156.97299999999998,282.099
42081,HIV,Mendocino,2003,Male,3,43920,6.831,1.409,19.961
128794,Tularemia,Colusa,2001,Female,0,9370,0.0,0.0,39.361
124162,Trichinosis,Imperial,2008,Female,0,82512,0.0,0.0,4.471
42824,E. coli O157,Mendocino,2003,Male,0,43920,0.0,0.0,8.399
6412,Babesiosis,Sacramento,2006,Male,0,671711,0.0,0.0,0.5489999999999999
23669,Cholera,Placer,2013,Female,0,186575,0.0,0.0,1.9769999999999999
135469,Typhus Fever,Sierra,2005,Female,0,1693,0.0,0.0,217.653
81017,Malaria,Sacramento,2004,Female,0,685863,0.0,0.0,0.5379999999999999
132426,"Typhoid Fever, case",Riverside,2009,Female,0,1084974,0.0,0.0,0.34
65677,Invasive Meningococcal Disease,Marin,2011,Male,0,124946,0.0,0.0,2.952
108524,Shiga Toxin Positive Feces (without culture confirmation),California,2010,Male,48,18558691,0.259,0.191,0.34299999999999997
46074,Early Syphilis,Amador,2003,Female,0,16572,0.0,0.0,22.256999999999998
21128,Chlamydia,Nevada,2012,Male,53,48436,109.42200000000001,81.976,143.10399999999998
120877,Tetanus,Tehama,2011,Female,0,31847,0.0,0.0,11.582
35771,Cysticercosis or Taeniasis,Plumas,2013,Female,0,9918,0.0,0.0,37.187
66118,Invasive Meningococcal Disease,Plumas,2004,Female,0,10447,0.0,0.0,35.304
70695,Leprosy,Mariposa,2003,Male,0,9048,0.0,0.0,40.762
74625,Leptospirosis,Yolo,2011,Male,0,98833,0.0,0.0,3.7319999999999998
102259,Relapsing Fever,Siskiyou,2007,Female,0,22635,0.0,0.0,16.296
102124,Relapsing Fever,Santa Cruz,2004,Female,0,127676,0.0,0.0,2.889
130999,Tularemia,Yuba,2008,Male,0,35895,0.0,0.0,10.276
103454,Rubella,Siskiyou,2011,Female,0,22498,0.0,0.0,16.395
105819,Salmonellosis,Tehama,2013,Female,5,32138,15.558,5.052,36.303000000000004
102701,Relapsing Fever,Yolo,2014,Male,0,101047,0.0,0.0,3.6510000000000002
118048,Streptococcal Infection (cases in food and dairy workers),Santa Cruz,2005,Female,0,127593,0.0,0.0,2.891
41194,Diphtheria,Santa Cruz,2004,Female,0,127676,0.0,0.0,2.889
132354,"Typhoid Fever, case",Placer,2013,Female,0,186575,0.0,0.0,1.9769999999999999
115900,Staphylococcus aureus Infection (cases resulting in death or ICU),Shasta,2008,Female,0,89894,0.0,0.0,4.104
108911,Shiga Toxin Positive Feces (without culture confirmation),Kings,2010,Female,0,66218,0.0,0.0,5.571000000000001
119817,Tetanus,Monterey,2013,Male,0,218152,0.0,0.0,1.6909999999999998
134588,Typhus Fever,Modoc,2011,Female,0,4749,0.0,0.0,77.64699999999999
72890,Leptospirosis,Kings,2004,Male,0,81728,0.0,0.0,4.513999999999999
139573,Yersiniosis,Colusa,2003,Male,0,10024,0.0,0.0,36.794000000000004
134526,Typhus Fever,Merced,2004,Male,0,117878,0.0,0.0,3.1289999999999996
101348,Relapsing Fever,Mono,2002,Male,1,7253,13.788,0.349,76.794
72523,Leptospirosis,Contra Costa,2008,Female,0,528831,0.0,0.0,0.698
11829,"Botulism, Other",Santa Cruz,2003,Female,0,127867,0.0,0.0,2.885
80480,Malaria,Marin,2007,Male,0,122743,0.0,0.0,3.005
84087,Measles,Solano,2011,Female,0,207595,0.0,0.0,1.777
82703,Measles,Kern,2012,Male,0,444012,0.0,0.0,0.831
72331,Leptospirosis,Alpine,2014,Female,0,534,0.0,0.0,688.421
50785,Giardiasis,Tuolumne,2012,Female,0,25417,0.0,0.0,14.512
112249,Shigellosis,Tulare,2008,Male,12,215925,5.557,2.872,9.708
27538,Coccidioidomycosis,Colusa,2008,Female,0,10363,0.0,0.0,35.59
83702,Measles,San Joaquin,2009,Female,0,341446,0.0,0.0,1.08
117860,Streptococcal Infection (cases in food and dairy workers),San Joaquin,2013,Female,0,352410,0.0,0.0,1.047
62633,HIV,Sacramento,2005,Male,138,664649,20.763,17.444000000000003,24.53
67560,Legionellosis,Colusa,2010,Male,0,11048,0.0,0.0,33.384
13372,"Botulism, Wound",Marin,2001,Female,0,125414,0.0,0.0,2.9410000000000003
137457,Vibrio Infection (non-Cholera),Inyo,2006,Male,0,9154,0.0,0.0,40.29
